aa;	214427;18
crews;	214427;2
crime;	1905157;4
critic;	1905157;4
critic;	2300502;2
crookes;	850236;26
cross;	13286072;4
cross;	7801357;2
cross;	13879359;2
cross;	82432;2
crossing;	82432;2
cruz;	82432;16
culminated;	710065;2
culture;	203434;6
culture;	82432;4
culture;	13286072;2
cultured;	82432;4
cup;	2289;132
curb;	203434;2
cures;	82432;2
currently;	82432;8
currently;	2289;2
currents;	850236;6
cushings;	10996774;2
cut;	7801357;2
cut;	13286072;2
cut;	2300502;2
cut;	710065;2
cutting;	13286072;2
cutting;	1905157;2
cwt;	214427;2
cyclase;	82432;2
cycle;	82432;20
cycle;	7611264;2
cyprus;	82432;2
cysteine;	82432;2
cytotoxicity;	82432;2
d;	850236;4
d;	82432;4
d;	10996774;2
d;	7003;2
d;	710065;2
d;	2289;2
damian;	2300502;2
dancing;	7611264;2
dangerous;	13879359;2
danny;	2300502;2
danny;	2289;2
dark;	1905157;8
dark;	850236;4
darte;	1905157;2
darvall;	82432;2
darwins;	82432;4
data;	10996774;4
data;	7003;2
date;	2300502;6
date;	82432;6
date;	13286072;4
date;	1905157;4
date;	3558046;4
date;	850236;2
date;	2289;2
date;	7611264;2
dated;	1905157;4
dated;	3558046;2
daughter;	2300502;4
daughter;	3558046;4
daughter;	13286072;2
daughter;	203434;2
daughter;	1905157;2
dauphine;	3558046;2
dave;	13286072;6
david;	1905157;10
david;	9536040;2
david;	203434;2
davidson;	13879359;6
davidson;	203434;6
davies;	2300502;6
day;	13286072;4
day;	1905157;4
day;	7801357;2
day;	2289;2
day;	82432;2
day;	7611264;2
deacon;	710065;2
dead;	1905157;6
dead;	82432;4
dead;	7801357;2
deal;	3558046;2
deal;	7611264;2
dealing;	13286072;2
dealing;	7611264;2
death;	1905157;36
death;	82432;16
death;	2300502;6
death;	203434;4
death;	3558046;4
death;	13286072;2
death;	850236;2
debts;	2289;2
debut;	13286072;4
dec;	82432;2
decade;	82432;2
decapitations;	1905157;2
decca;	2300502;4
deceased;	13286072;2
decided;	7801357;2
decided;	13286072;2
decided;	2289;2
decision;	710065;4
decision;	82432;2
declare;	203434;2
declared;	203434;2
declared;	2289;2
deconstructing;	1905157;2
decrease;	850236;2
decreased;	710065;2
decreased;	11025703;2
decried;	1905157;2
deduced;	1905157;2
deemed;	13286072;2
deep;	7801357;2
defeats;	2289;2
defects;	10996774;2
defects;	1905157;2
defend;	13879359;2
defending;	2289;2
defense;	214427;6
defense;	13879359;4
defense;	710065;2
defilade;	710065;2
defining;	7003;2
degree;	7003;14
degree;	82432;4
degree;	850236;2
degree;	203434;2
dei;	1905157;12
delarue;	10996774;2
delayed;	710065;2
delays;	710065;2
deletable;	11025703;2
delivered;	1905157;2
della;	1905157;10
delta;	7003;2
demolition;	1905157;2
demonstrate;	1905157;2
demonstrated;	203434;2
demonstrated;	7611264;2
deniliquin;	13286072;2
denise;	82432;2
denison;	1905157;2
denotes;	10996774;2
denotes;	13286072;2
densities;	7003;2
density;	7003;30
density;	850236;2
deoxycorticosterone;	10996774;2
departing;	13286072;2
department;	82432;10
department;	7611264;2
depend;	203434;2
depend;	1905157;2
depending;	7611264;2
depicts;	1905157;2
deployed;	710065;4
deployed;	11025703;4
deposit;	850236;2
derivatives;	82432;4
derogatory;	203434;2
des;	203434;2
des;	1905157;2
des;	3558046;2
des;	82432;2
descendants;	203434;2
descent;	203434;2
describes;	1905157;4
describing;	7003;2
describing;	850236;2
describing;	1905157;2
description;	82432;4
description;	7003;2
description;	2300502;2
description;	3558046;2
deserts;	214427;2
design;	7611264;40
design;	710065;24
design;	7801357;8
design;	850236;4
design;	13879359;2
design;	1905157;2
design;	2289;2
designated;	13879359;2
designers;	710065;2
designers;	7611264;2
designing;	7611264;2
desire;	214427;2
desire;	710065;2
desired;	7611264;6
despite;	13286072;6
despite;	1905157;4
despite;	3558046;2
despite;	2289;2
despite;	82432;2
destined;	1905157;2
destiny;	1905157;2
destroy;	710065;2
destroy;	82432;2
destroyerhtml;	710065;2
destroyers;	710065;34
destroyers;	11025703;4
destroying;	710065;2
detached;	13879359;2
detailed;	7801357;2
detailed;	1905157;2
details;	7003;2
details;	850236;2
detected;	82432;2
determinate;	82432;2
deutsches;	11025703;2
developed;	214427;10
developed;	710065;8
developed;	11025703;6
developed;	203434;4
developed;	7003;2
developed;	13286072;2
developed;	13879359;2
developed;	7611264;2
developer;	7801357;2
developments;	7611264;2
develops;	82432;2
device;	7611264;8
device;	850236;6
devised;	7611264;2
devised;	82432;2
dhea;	10996774;2
diagnosed;	13286072;2
diagnosed;	82432;2
diarrhea;	82432;2
dickter;	203434;2
dictionary;	3558046;2
die;	1905157;2
die;	82432;2
died;	1905157;14
died;	3558046;8
died;	82432;6
died;	9536040;2
died;	13286072;2
died;	2300502;2
died;	203434;2
died;	2289;2
diego;	1905157;2
differences;	850236;2
differences;	203434;2
differentiable;	7003;2
differentiate;	82432;4
difficult;	1905157;4
difficult;	850236;2
difficult;	710065;2
difficult;	82432;2
digestiva;	82432;2
digestive;	82432;14
digital;	7611264;14
digital;	13286072;2
dijk;	1905157;2
dilation;	82432;2
dimension;	7003;2
diminution;	3558046;2
diminutive;	1905157;2
dinanova;	10996774;2
diotaiuti;	82432;2
diplomatic;	7801357;2
directed;	214427;2
directed;	850236;2
directional;	7003;2
directives;	203434;2
directly;	1905157;10
directly;	10996774;4
directly;	850236;2
directly;	2289;2
directly;	82432;2
director;	82432;2
dirk;	2289;4
dirk;	82432;2
dirty;	1905157;4
dis;	82432;4
disable;	710065;2
disappeared;	13286072;2
disappeared;	850236;2
disbanded;	13286072;2
discipline;	7611264;8
discovered;	1905157;4
discovered;	2300502;2
discovered;	82432;2
discovered;	7611264;2
discovery;	82432;4
discovery;	1905157;2
discussion;	1905157;6
discussion;	7003;2
disease;	82432;186
disease;	10996774;2
disfigured;	1905157;2
dish;	1905157;2
disorder;	10996774;2
display;	1905157;2
displaying;	7801357;2
displaying;	3558046;2
disproved;	850236;2
distinct;	10996774;6
distinct;	7003;2
distinct;	850236;2
distinct;	203434;2
distinct;	11025703;2
distinguished;	10996774;2
distribution;	7003;154
distribution;	9536040;2
distribution;	82432;2
district;	9536040;2
district;	13286072;2
disturbance;	7611264;2
disturbed;	850236;2
diverge;	7003;4
divergent;	82432;2
diverse;	7611264;4
diversified;	7611264;2
divinyls;	13286072;2
divisions;	11025703;6
divisions;	710065;2
divisions;	7611264;2
divorce;	203434;2
divorce;	82432;2
divorced;	82432;4
divorced;	203434;2
dixon;	1905157;4
dmy;	82432;4
dmy;	7801357;2
dmy;	13286072;2
dmy;	2300502;2
dmy;	850236;2
dmy;	203434;2
dmy;	2289;2
dnipro;	2289;2
dnipropetrovsk;	2289;2
doctors;	82432;2
doctrine;	710065;2
doctrine;	1905157;2
documented;	203434;2
documents;	1905157;2
doi;	82432;4
doi;	13879359;2
domain;	7611264;28
domain;	710065;2
domestic;	3558046;4
domestic;	2289;4
domestic;	82432;4
domestic;	203434;2
dominance;	13286072;2
dominant;	1905157;2
donation;	82432;4
done;	850236;4
done;	1905157;4
done;	82432;2
donetsk;	2289;2
donor;	82432;4
door;	2300502;4
door;	850236;2
door;	1905157;2
door;	3558046;2
doorneveld;	2289;2
dorlandsid;	10996774;2
dosages;	82432;2
down;	710065;4
down;	1905157;4
down;	7801357;2
down;	13286072;2
downloadable;	1905157;2
dp;	7003;2
dr;	82432;8
dr;	1905157;2
draw;	11025703;2
drawing;	1905157;2
drawn;	2289;4
drawn;	2300502;2
drawn;	13879359;2
drebbel;	7611264;2
drinking;	13286072;2
drive;	710065;8
driven;	850236;2
driver;	710065;2
dropped;	7003;2
drove;	13879359;2
drug;	82432;12
drummer;	13286072;4
drunk;	13286072;2
dt;	82432;2
dual;	214427;2
dual;	11025703;2
dublin;	203434;2
dublin;	1905157;2
duby;	203434;2
duct;	10996774;4
ducting;	7801357;2
due;	82432;8
due;	850236;6
due;	10996774;4
due;	203434;4
due;	7611264;4
due;	9536040;2
due;	214427;2
due;	710065;2
due;	1905157;2
due;	11025703;2
duffy;	1905157;2
dunkirk;	13879359;2
duo;	2300502;2
duryea;	13879359;2
dusio;	1905157;2
dutch;	2289;6
dutch;	82432;2
duties;	13879359;2
duties;	2289;2
dwellers;	82432;2
dynamical;	7611264;2
dynamics;	7611264;2
dynamo;	2289;2
dynasty;	203434;2
ea;	82432;2
eagle;	7801357;2
earl;	13879359;2
earlier;	710065;4
earlier;	1905157;4
earlier;	13286072;2
earlier;	13879359;2
earlier;	850236;2
earlier;	7611264;2
ease;	710065;2
eastern;	13879359;2
eastern;	710065;2
easy;	2300502;2
easy;	710065;2
easybeatsand;	13286072;2
eating;	82432;2
ecological;	82432;2
ecstasy;	1905157;2
edges;	850236;4
edges;	13286072;2
edition;	1905157;10
edition;	10996774;2
editori;	1905157;2
eds;	710065;2
eds;	203434;2
education;	203434;6
education;	7611264;4
education;	850236;2
education;	82432;2
eerste;	2289;54
effectively;	850236;4
effectively;	203434;2
effectiveness;	710065;2
effectiveness;	82432;2
effects;	10996774;2
effects;	1905157;2
effects;	82432;2
ehrhart;	10996774;2
eighths;	203434;2
eighties;	2289;2
eighty;	2289;2
einsteins;	850236;2
elder;	2300502;2
elected;	3558046;2
elected;	82432;2
electrical;	7611264;16
electrical;	7801357;2
electrical;	10996774;2
electrical;	850236;2
electromagnetic;	850236;6
electromagnetic;	7611264;2
electronic;	7611264;2
elefants;	710065;2
elektra;	13286072;16
element;	7801357;2
element;	13879359;2
element;	1905157;2
elementary;	7611264;2
elevated;	214427;2
elevated;	203434;2
elevator;	7801357;2
elisa;	82432;2
elites;	203434;2
elsewhere;	13879359;2
em;	82432;2
embedded;	7611264;2
embracing;	203434;2
embryologic;	10996774;2
emedicinetopic;	82432;2
emeritus;	82432;2
emmaus;	1905157;12
emotional;	1905157;4
emotional;	82432;2
emperor;	203434;10
emphasized;	710065;2
empire;	203434;2
employing;	7611264;2
employment;	1905157;2
employment;	11025703;2
enabling;	710065;2
enclosing;	710065;4
encountered;	710065;2
encountered;	7611264;2
encountered;	11025703;2
encyclopedia;	13879359;6
encyclopedia;	13286072;2
ended;	1905157;8
ended;	2289;6
ended;	13286072;2
ended;	82432;2
enemies;	1905157;4
enemy;	710065;14
enemy;	13879359;2
enemy;	214427;2
enemy;	1905157;2
energy;	850236;6
energy;	7003;2
engages;	203434;2
engine;	850236;6
engine;	710065;2
engineers;	7611264;6
engineers;	7801357;2
engl;	82432;2
english;	2300502;2
english;	203434;2
english;	2289;2
engravings;	3558046;2
enhanced;	850236;2
enjoyed;	203434;2
enjoyed;	82432;2
enlargement;	82432;2
enough;	850236;8
enough;	13286072;4
enough;	7801357;2
enough;	13879359;2
enslaved;	203434;10
ensued;	11025703;2
ensure;	203434;6
ensure;	7801357;2
ensure;	7611264;2
enter;	82432;8
enter;	10996774;2
enter;	13879359;2
enter;	203434;2
enter;	1905157;2
entering;	710065;2
entering;	1905157;2
entertain;	7611264;2
entertainment;	13286072;4
entidade;	82432;2
entirely;	850236;2
entomol;	82432;2
entrance;	7801357;2
entry;	10996774;2
entry;	7003;2
envisaged;	710065;2
enzyme;	10996774;2
eo;	82432;2
epidemiologist;	82432;2
epimastigotes;	82432;4
eps;	13286072;2
equal;	7003;10
equal;	203434;2
equal;	1905157;2
equation;	7003;4
equilibrium;	850236;2
equip;	710065;4
equitable;	203434;2
equivalent;	203434;12
equivalent;	7003;4
equivalent;	10996774;2
equivalent;	214427;2
equivalent;	850236;2
equivalent;	7611264;2
era;	203434;6
era;	13879359;4
era;	3558046;2
era;	11025703;2
eradicated;	82432;2
ercole;	1905157;12
erratic;	1905157;2
error;	7003;2
escobedo;	82432;2
escort;	13879359;2
essence;	1905157;2
essential;	7611264;2
established;	1905157;6
established;	2300502;4
established;	9536040;2
established;	13286072;2
established;	13879359;2
established;	2289;2
established;	82432;2
establishments;	9536040;2
establishments;	2289;2
esteva;	82432;2
estimate;	7003;10
estimate;	1905157;2
estimated;	82432;6
estimated;	7801357;2
estimator;	7003;18
etc;	7611264;2
etiological;	82432;2
eukaryot;	82432;2
europa;	2289;16
europe;	2300502;4
europe;	13879359;2
europe;	82432;2
europe;	7611264;2
evacuated;	850236;2
even;	13286072;10
even;	1905157;8
even;	7003;6
even;	710065;4
even;	82432;4
even;	7611264;4
even;	13879359;2
even;	203434;2
even;	3558046;2
even;	2289;2
even;	11025703;2
event;	9536040;2
event;	13286072;2
ever;	710065;4
ever;	1905157;4
ever;	13286072;2
exactly;	850236;6
exactly;	7003;2
exactly;	710065;2
example;	7003;18
example;	203434;14
example;	82432;10
example;	7611264;6
example;	214427;4
example;	1905157;4
example;	7801357;2
example;	850236;2
example;	710065;2
exasperated;	1905157;2
excellent;	13879359;2
excelsior;	2289;2
exercise;	203434;2
exercised;	1905157;2
exhaustive;	1905157;2
exhibited;	3558046;4
exhibited;	7611264;2
exhibitions;	3558046;2
exhibits;	10996774;2
exhibits;	82432;2
existed;	1905157;2
existence;	82432;2
existent;	7003;2
existent;	2289;2
exists;	7003;2
exists;	82432;2
exorbitant;	13286072;2
exot;	82432;2
expand;	9536040;6
expand;	2289;4
expanding;	82432;2
expected;	7003;6
expected;	710065;6
expected;	214427;2
expected;	203434;2
expected;	82432;2
expedient;	710065;2
expel;	1905157;2
experience;	13286072;4
experience;	2300502;4
experience;	850236;2
experienced;	13286072;2
experimental;	82432;10
experimental;	710065;6
experimented;	82432;2
explained;	850236;2
explanations;	850236;2
exploitation;	203434;2
exploitation;	82432;2
exploited;	7003;2
exploited;	710065;2
exposed;	850236;4
express;	1905157;2
expresses;	7003;2
expresses;	1905157;2
expressing;	7003;2
expression;	10996774;8
expression;	1905157;2
extant;	3558046;2
extemporized;	710065;2
extend;	2289;2
extending;	82432;2
extensively;	214427;2
extent;	82432;2
externally;	7801357;2
extra;	710065;4
extra;	2289;4
extra;	850236;2
extra;	3558046;2
extracellular;	10996774;2
extramarital;	203434;4
extramarital;	82432;2
extraordinary;	1905157;2
extraordinary;	82432;2
extreme;	1905157;4
eyegate;	1905157;2
eyes;	1905157;4
eyes;	13879359;2
eyesight;	3558046;2
f;	82432;4
f;	10996774;2
f;	2300502;2
f;	850236;2
f;	1905157;2
f;	3558046;2
f;	2289;2
f;	7611264;2
fabinyi;	13286072;2
fabrication;	850236;4
fabrication;	82432;2
fabrizio;	1905157;2
faces;	1905157;2
faces;	82432;2
facilitated;	1905157;2
facing;	1905157;2
fact;	7003;8
fact;	850236;4
fact;	82432;2
factories;	11025703;2
factory;	1905157;2
factory;	7611264;2
failure;	82432;6
failure;	10996774;2
failure;	710065;2
fair;	203434;2
falcons;	13286072;2
fallen;	710065;2
fallot;	82432;2
families;	82432;2
family;	1905157;12
family;	203434;8
family;	7003;2
family;	13286072;2
famously;	13879359;2
fanbase;	2289;2
fans;	13286072;4
fans;	2300502;2
fantasy;	203434;4
fanti;	1905157;2
farewell;	13286072;6
farlowe;	2300502;2
farm;	82432;4
farnhams;	13286072;2
farrar;	1905157;2
fasciculata;	10996774;4
fascinated;	1905157;2
fashion;	13879359;2
fast;	850236;2
fast;	13879359;2
fast;	214427;2
fast;	710065;2
fatal;	1905157;2
fatal;	82432;2
father;	2300502;6
father;	1905157;6
father;	203434;4
father;	82432;4
fatherhood;	203434;2
fats;	10996774;2
favor;	710065;6
favorite;	203434;2
favoured;	203434;2
feature;	10996774;2
feature;	13286072;2
feature;	1905157;2
featured;	13286072;10
featured;	710065;4
featured;	1905157;4
featured;	2300502;2
featured;	3558046;2
february;	1905157;12
february;	13286072;6
february;	9536040;2
february;	2289;2
february;	82432;2
feces;	82432;4
feed;	82432;6
feeding;	82432;2
female;	203434;4
female;	1905157;4
fender;	2300502;2
fernand;	203434;4
ferreira;	2289;2
ferreira;	82432;2
ferret;	13879359;2
feud;	1905157;2
fever;	1905157;6
fever;	82432;4
few;	1905157;10
few;	710065;4
few;	82432;4
few;	13286072;2
few;	214427;2
few;	850236;2
few;	13879359;2
few;	7611264;2
ff;	2289;2
field;	7611264;6
field;	214427;4
field;	710065;4
field;	1905157;2
field;	82432;2
field;	11025703;2
fifty;	2300502;2
fifty;	3558046;2
fig;	1905157;2
fight;	10996774;2
fight;	13879359;2
fight;	1905157;2
fight;	82432;2
fighting;	710065;18
fighting;	13879359;12
fighting;	214427;4
fighting;	11025703;4
fighting;	82432;2
figure;	1905157;8
figured;	9536040;2
filed;	9536040;4
filled;	82432;2
filled;	11025703;2
film;	13286072;4
film;	82432;2
filter;	7611264;2
final;	13286072;6
final;	1905157;4
final;	7801357;2
final;	850236;2
final;	3558046;2
final;	2289;2
finance;	7801357;6
finance;	7611264;2
findings;	1905157;4
finds;	1905157;2
finished;	2289;4
finished;	13286072;2
fiqas;	203434;2
fire;	710065;16
fire;	11025703;10
fire;	214427;8
fire;	13879359;4
fired;	710065;6
fired;	13286072;2
fired;	1905157;2
fired;	11025703;2
firm;	9536040;2
first;	82432;50
first;	1905157;26
first;	13286072;14
first;	7611264;14
first;	710065;14
first;	2300502;10
first;	13879359;10
first;	2289;10
first;	3558046;6
first;	203434;6
first;	7003;4
first;	850236;4
first;	214427;4
first;	11025703;4
first;	7801357;2
fischmeister;	10996774;2
fishing;	203434;4
fitness;	9536040;2
fitted;	11025703;6
fitted;	710065;4
fitted;	214427;2
five;	13286072;4
five;	7801357;2
five;	2300502;2
five;	13879359;2
five;	2289;2
five;	82432;2
fixation;	82432;2
fixed;	710065;6
fixed;	1905157;4
fixed;	7003;2
fixings;	7801357;2
flag;	2289;100
flakpanzer;	214427;2
flanking;	710065;2
flavoured;	13286072;4
flaw;	13879359;2
fleet;	203434;2
flesh;	13286072;4
flight;	1905157;6
flight;	10996774;2
flight;	7003;2
flight;	7611264;2
floating;	13286072;2
floor;	7801357;26
floor;	2300502;2
floor;	1905157;2
florence;	3558046;2
flow;	850236;2
flow;	7611264;2
flowers;	1905157;4
floyd;	2289;2
fluctuation;	82432;2
fluid;	7611264;4
fluorescence;	82432;2
flyball;	7611264;6
fn;	82432;2
focus;	7611264;4
focuses;	7611264;2
followed;	214427;6
followed;	9536040;2
followed;	13879359;2
followed;	203434;2
followed;	1905157;2
followed;	3558046;2
followed;	2289;2
followed;	7611264;2
followed;	11025703;2
follows;	7003;4
follows;	82432;2
food;	82432;6
foot;	7801357;2
forces;	710065;16
forces;	214427;6
forces;	13879359;6
forces;	11025703;6
forces;	2300502;2
forces;	850236;2
foreign;	2289;2
foreword;	2300502;4
forgotten;	1905157;2
form;	7801357;8
form;	7003;6
form;	82432;6
form;	13286072;4
form;	850236;4
form;	10996774;2
form;	2300502;2
form;	203434;2
form;	3558046;2
formerly;	13286072;2
formerly;	82432;2
forming;	7801357;2
forming;	2300502;2
forming;	1905157;2
formula;	7003;2
fortified;	11025703;4
fortnights;	1905157;2
forty;	710065;4
forty;	82432;2
fostered;	13286072;2
fotografie;	1905157;2
foul;	1905157;2
found;	1905157;12
found;	710065;4
found;	3558046;4
found;	13286072;2
found;	2300502;2
found;	850236;2
found;	82432;2
founding;	2300502;2
fountain;	7801357;2
four;	203434;10
four;	2289;6
four;	13286072;4
four;	1905157;4
four;	3558046;4
four;	82432;4
four;	7801357;2
four;	13879359;2
four;	850236;2
four;	214427;2
fourier;	7003;6
fournier;	3558046;2
fractionated;	82432;2
fracture;	710065;2
fragmentary;	13286072;2
francesco;	1905157;14
francis;	1905157;8
fraternity;	13286072;2
free;	203434;14
free;	2300502;6
free;	82432;6
free;	7801357;4
freed;	203434;4
freedom;	7003;4
freedom;	203434;4
freer;	1905157;2
freestanding;	7801357;2
french;	3558046;10
french;	203434;6
french;	82432;4
french;	1905157;2
french;	11025703;2
frenchmen;	1905157;2
frequency;	7611264;10
frequency;	7003;2
frequent;	1905157;2
frescoes;	3558046;2
fresh;	82432;2
freud;	3558046;4
friction;	850236;2
friend;	1905157;10
friend;	2300502;2
friezes;	1905157;2
from;	1905157;104
from;	82432;80
from;	13286072;52
from;	850236;34
from;	2289;26
from;	10996774;22
from;	203434;22
from;	710065;18
from;	7003;14
from;	7611264;14
from;	7801357;12
from;	2300502;12
from;	214427;12
from;	372693;6
from;	13879359;6
from;	3558046;6
from;	194203;5
from;	9536040;2
from;	11025703;2
frontal;	710065;2
fronts;	710065;2
frozen;	82432;2
fruit;	1905157;20
fruit;	3558046;4
fruit;	82432;2
frutta;	1905157;2
fuller;	1905157;2
fully;	11025703;8
fully;	13879359;4
fully;	710065;2
fully;	1905157;2
function;	7003;52
function;	10996774;2
function;	710065;2
functioning;	3558046;2
fungus;	82432;2
furnace;	7611264;2
further;	203434;6
further;	1905157;4
further;	2289;4
further;	13286072;2
further;	82432;2
further;	7611264;2
fv;	710065;2
gabriel;	3558046;2
gained;	3558046;2
gained;	7611264;2
gained;	82432;2
gakiya;	82432;2
galleries;	3558046;2
gallery;	1905157;6
gallery;	3558046;6
game;	2289;4
game;	1905157;2
game;	82432;2
gathered;	7801357;2
gathered;	1905157;2
gazing;	1905157;2
gen;	82432;2
general;	7801357;14
general;	710065;12
general;	13879359;2
general;	214427;2
general;	203434;2
general;	1905157;2
general;	82432;2
generalized;	7003;2
generates;	850236;2
generating;	7003;2
generation;	1905157;6
generation;	2300502;2
generoso;	9536040;2
genres;	3558046;2
genus;	82432;10
geometry;	850236;2
georg;	2289;4
georges;	203434;2
georges;	1905157;2
georges;	3558046;2
georgia;	82432;2
german;	710065;40
german;	214427;14
german;	11025703;8
german;	13879359;6
german;	2300502;2
german;	82432;2
germanys;	710065;2
germanys;	11025703;2
get;	2300502;4
get;	7801357;2
get;	850236;2
get;	1905157;2
geyer;	13286072;2
ghq;	13879359;2
gianni;	1905157;2
gideon;	203434;4
giemsa;	82432;4
gilles;	1905157;4
ginger;	2300502;2
giorgio;	3558046;2
girardot;	13879359;4
girl;	1905157;4
girl;	82432;2
girlfriend;	13286072;2
giroux;	1905157;2
giunti;	1905157;2
giuseppe;	1905157;8
giustiniani;	1905157;4
gives;	850236;2
gives;	1905157;2
giving;	850236;2
giving;	203434;2
giving;	1905157;2
gland;	10996774;22
glandula;	10996774;2
glass;	850236;26
glass;	203434;2
glass;	3558046;2
glomerulosa;	10996774;24
glucagon;	10996774;2
glucocorticoid;	10996774;2
glycel;	82432;2
gnu;	7003;2
go;	13286072;4
go;	203434;2
go;	710065;2
go;	2289;2
go;	82432;2
goals;	2289;12
goals;	82432;2
god;	1905157;6
god;	2300502;2
goes;	1905157;2
going;	2289;2
gold;	850236;6
goliath;	1905157;12
gomez;	10996774;2
got;	13286072;8
got;	7801357;2
governed;	7611264;2
governess;	3558046;2
governor;	7611264;6
grace;	3558046;2
graham;	1905157;4
graham;	2300502;2
grand;	1905157;4
grandeur;	1905157;2
grant;	1905157;2
granting;	203434;2
granular;	3558046;2
grasshopper;	2289;4
gravelly;	2300502;2
gravely;	3558046;2
graypage;	10996774;2
greater;	7003;2
greater;	850236;2
greater;	710065;2
greatly;	850236;2
greatly;	710065;2
greatly;	1905157;2
greatly;	3558046;2
greatly;	11025703;2
greek;	203434;6
greek;	2300502;2
grid;	7611264;2
grinning;	1905157;2
grocer;	82432;2
groote;	82432;8
groping;	203434;2
grosseto;	1905157;4
grounds;	710065;2
grouped;	13286072;2
groups;	13286072;6
groups;	82432;2
gs;	82432;2
gu;	10996774;2
guangzhou;	7801357;2
guarded;	203434;2
guava;	82432;2
guerreiro;	82432;2
guest;	13286072;2
guhl;	82432;2
guide;	710065;2
guide;	203434;2
guide;	11025703;2
guided;	214427;2
guided;	710065;2
guido;	2300502;2
guinness;	13879359;4
guitar;	13286072;8
guitar;	2300502;8
guitarist;	13286072;4
guitarist;	2300502;4
gun;	710065;112
gun;	11025703;40
gun;	13879359;24
gun;	214427;20
gunship;	214427;2
gut;	82432;2
gypsy;	1905157;2
h;	10996774;6
h;	850236;2
h;	1905157;2
h;	2289;2
h;	7611264;2
haar;	2289;2
habitats;	82432;4
hadith;	203434;4
hair;	1905157;2
halal;	203434;4
hamburg;	10996774;2
hamburg;	2300502;2
hamilton;	82432;2
handle;	13286072;2
handled;	1905157;2
handled;	3558046;2
hands;	850236;2
hands;	82432;2
hans;	2289;8
harder;	13286072;2
hardly;	13286072;2
harmenszoon;	1905157;2
harmonica;	13286072;2
harmonica;	2300502;2
harry;	2300502;4
harry;	710065;2
harvard;	1905157;2
has;	82432;32
has;	7003;24
has;	1905157;18
has;	13286072;14
has;	7611264;12
has;	710065;10
has;	850236;8
has;	203434;6
has;	10996774;4
has;	7801357;4
has;	3558046;4
has;	2289;4
has;	2300502;2
hasnt;	2289;2
hated;	82432;2
have;	1905157;48
have;	82432;28
have;	203434;22
have;	7003;16
have;	13879359;14
have;	7611264;12
have;	710065;10
have;	13286072;6
have;	850236;6
have;	214427;6
have;	3558046;4
have;	2289;4
have;	9536040;4
have;	10996774;2
havertown;	710065;2
hawks;	13286072;2
hayatul;	203434;2
head;	1905157;26
head;	82432;4
head;	203434;2
health;	82432;14
health;	9536040;2
heart;	82432;106
heart;	2289;2
heat;	850236;26
heat;	13286072;2
heating;	850236;4
heavier;	13879359;4
heavier;	214427;4
heavily;	710065;4
heavily;	13286072;2
heavily;	1905157;2
heavily;	2289;2
hecht;	7003;2
heep;	13286072;4
heinz;	2289;2
helds;	82432;2
helen;	1905157;6
helen;	203434;2
helicopters;	710065;4
helicopters;	214427;2
helm;	2300502;2
helped;	82432;2
helped;	7611264;2
helps;	850236;2
helter;	2300502;2
hemagglutination;	82432;2
hematoxylin;	10996774;2
hendrick;	1905157;2
hendrix;	2300502;6
henk;	2289;4
henri;	3558046;4
herat;	203434;4
here;	850236;2
here;	710065;2
here;	7611264;2
hergoualch;	203434;2
hetaera;	203434;2
heteroskedasticity;	7003;2
heterotopic;	82432;2
hetzer;	710065;6
hf;	82432;2
hh;	82432;2
hibbard;	1905157;4
hide;	82432;2
high;	7801357;18
high;	1905157;10
high;	850236;6
high;	710065;6
high;	11025703;6
high;	214427;4
high;	10996774;2
high;	7003;2
high;	2300502;2
high;	7611264;2
high;	82432;2
highest;	203434;4
highest;	7801357;2
highest;	13286072;2
highest;	1905157;2
highest;	3558046;2
highest;	2289;2
him;	1905157;50
him;	13286072;4
him;	3558046;4
him;	2300502;2
him;	850236;2
him;	203434;2
him;	82432;2
himself;	1905157;16
himself;	2300502;6
himself;	203434;2
himself;	3558046;2
himself;	82432;2
hing;	7801357;2
his;	1905157;220
his;	82432;70
his;	203434;56
his;	3558046;52
his;	13286072;30
his;	2300502;20
his;	2289;8
his;	9536040;4
his;	850236;2
his;	7611264;2
historians;	203434;2
historical;	7003;2
historical;	82432;2
history;	203434;14
history;	3558046;6
history;	7611264;6
history;	13879359;4
history;	1905157;4
history;	2300502;2
history;	850236;2
history;	710065;2
history;	82432;2
histrionic;	1905157;2
hither;	1905157;2
hits;	13286072;8
hits;	710065;2
hkcec;	7801357;2
hoc;	13879359;2
hodgkinson;	2300502;4
holiday;	82432;2
holomorphic;	7003;2
homeland;	82432;2
homeless;	13286072;2
homem;	82432;2
homepage;	9536040;2
homes;	82432;2
honduras;	82432;2
hong;	7801357;60
honor;	82432;2
honorable;	203434;2
honoring;	82432;2
hooks;	1905157;2
hope;	1905157;2
hopefully;	82432;2
hopkins;	2300502;4
hormone;	10996774;6
horses;	203434;2
horses;	1905157;2
horticulture;	1905157;2
hospital;	82432;8
host;	82432;6
hostels;	82432;2
hotchkiss;	13879359;2
hotel;	13286072;4
hotez;	82432;2
hotter;	850236;8
houghton;	203434;2
house;	203434;4
house;	2300502;2
house;	710065;2
house;	1905157;2
house;	82432;2
houston;	7703861;2
how;	850236;6
how;	1905157;4
how;	82432;4
how;	13286072;2
how;	2300502;2
how;	203434;2
how;	7611264;2
however;	13879359;10
however;	82432;10
however;	13286072;8
